SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
172.18.0.5,172.18.0.2,39946,443,2025-08-15 10:59:22,20.20772695541382,21195,1048.8562145937785,116472,5763.735835157659,1309537.3087244895,1144.3501687527685,983.3357142857143,374.0,66,1.5974193850554455,0.801621513531581,1.1637431165449061,40.164985462261434,6.337585144379634,9.08549723795482,8.957805514335632,0.0,0.060444974249740414,1.4335897713361878,0.6975496198385559,1.454686718354496e-06,0.0012061039417705656,0.0032189617986264434,0.0032782554626464844,0.0030634403228759766,-0.147483965435842,0.12894533411619621,0.3746872492507428,False
172.18.0.2,172.18.0.5,443,39946,2025-08-15 10:59:43,20.259767532348633,105495,5207.117990448649,17139,845.9623227479918,1388339.8737672586,1178.2783515652227,1048.1538461538462,374.0,66,1.7164548052460649,0.8335499373718909,1.124146379740782,33.445748361265174,5.783229924641176,10.37742428494315,10.847733497619629,0.0,-0.24396879536429295,1.7943993962140496,0.5572895321464499,1.8259548712692472e-10,1.3512789761071721e-05,4.674226809770633e-05,4.363059997558594e-05,3.123283386230469e-05,0.690827322219864,1.1477596047621452,0.2890914435907487,False
172.18.0.2,172.18.0.5,443,39946,2025-08-15 11:00:03,20.544912338256836,105495,5134.847901178773,17194,836.8981924533658,1387703.0551537732,1178.0080878982849,1048.6239316239316,379.0,66,1.7053123959920138,0.8341402251125939,1.1233847067308342,36.088471345120794,6.007368088033294,10.527265161530584,10.691426277160645,0.0,-0.08197988531303912,1.752392230218246,0.5706485013777185,9.312588920476029e-11,9.650175604866488e-06,4.0677877572866586e-05,3.719329833984375e-05,4.506111145019531e-05,1.0832691680550135,-0.45421286169324265,0.23723399991998245,False
172.18.0.2,172.18.0.5,443,39946,2025-08-15 11:00:23,20.263307809829712,108200,5339.7007544598555,17528,865.0117821088018,1388906.3788888892,1178.5187223327805,1047.7333333333333,374.0,66,1.7150342728532997,0.8330231117500393,1.124826981101534,34.94647840680033,5.911554652272136,9.747818197806676,9.405640602111816,0.0,0.17364853197965904,1.648943259631382,0.6064490055428274,3.1731129723766567e-10,1.7813233766996538e-05,4.3565034866333006e-05,3.981590270996094e-05,3.337860107421875e-05,0.6314067741004341,0.5718464106717764,0.4088883165513676,False
172.18.0.2,172.18.0.5,443,39946,2025-08-15 11:00:44,20.441193103790283,102790,5028.571447766436,16720,817.956168952766,1388093.9415204679,1178.173986099026,1048.3333333333333,374.0,66,1.7170638834916236,0.8337761187427607,1.1238543587590075,35.933293871410584,5.994438578500124,9.75130709848906,9.410099864006042,0.0,0.17076189705578268,1.6267256675985404,0.6147318013837291,1.2398336958512598e-10,1.1134781972949716e-05,4.3492568166632404e-05,4.208087921142578e-05,3.528594970703125e-05,0.3803457378786876,0.7370255187338112,0.25601573883356804,False
172.18.0.2,172.18.0.5,443,39946,2025-08-15 11:01:04,20.200576543807983,105495,5222.375696615305,17174,850.1737543359519,1387934.0939440427,1178.1061471463609,1048.4529914529915,374.0,66,1.7174674618751518,0.8339256983190475,1.1236613913549816,33.21843986736287,5.763544037080212,10.131597217331585,10.170562982559204,0.0,-0.020282190077978,1.7578762567179431,0.5688682557594003,1.0639226865273658e-10,1.031466279878972e-05,4.020104041466346e-05,3.7670135498046875e-05,3.743171691894531e-05,0.7361088673437445,0.26848415209880533,0.25657701125136584,False
172.18.0.2,172.18.0.5,443,39946,2025-08-15 11:01:24,17.941039085388184,100175,5583.567346530451,15975,890.4166544629294,1385114.5687211214,1176.9089041727577,1027.8761061946902,374.0,66,1.6667630872950931,0.8172901936456902,1.1449910130996266,28.39658406607438,5.328844533862325,9.0191121860943,8.88053274154663,0.0,0.07801660022190288,1.6925080341117185,0.5908391451298672,3.378165017649302e-10,1.8379785139248234e-05,4.417017886513158e-05,4.017353057861328e-05,3.409385681152344e-05,0.6523441252831375,0.5482285008920558,0.41611298870599406,False
