SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
172.18.0.5,172.18.0.2,45220,443,2025-08-14 11:48:43,20.794224739074707,6927,333.12133955075427,29862,1436.0718119914284,1119298.8047593294,1057.9691889461287,855.5581395348837,367.0,66,1.3853658820297485,0.7462959675804771,1.2365836289293957,50.61475664658846,7.114404869459459,6.990408986113792,6.987074136734009,0.0,0.001406238233966223,0.9825711516815759,1.017738001251712,2.816507602562747e-06,0.0016782453940239928,0.0025164570127214703,0.0031723976135253906,2.3365020751953125e-05,-1.1725471194015553,1.485534833491624,0.6669080320227773,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:49:03,20.092055320739746,37800,1881.3406292476943,6065,301.8606062536314,1385630.9552154194,1177.12826625454,1044.404761904762,367.0,66,1.7264170303041926,0.8311793964628096,1.1270805239414265,30.107147529362482,5.4869980434990575,8.907179162615822,8.254908323287964,0.0,0.35662715795971317,1.6233246471026106,0.6160197233405216,4.2141419605602036e-10,2.0528375387643815e-05,5.8123043605259485e-05,5.698204040527344e-05,2.9325485229492188e-05,0.16674527503128558,1.402817214317932,0.35318823850763087,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:49:23,20.2208993434906,37800,1869.35305684949,6100,301.6680858937008,1384502.5623582767,1176.6488696116087,1045.2380952380952,373.0,66,1.7139474126890275,0.832226266074878,1.125723292111334,35.58977551383701,5.965716680654304,10.092649022738138,9.674692273139954,0.0,0.21017931556498803,1.6917747796281877,0.5910952285385035,2.7070605167920107e-10,1.6453147166399536e-05,4.620211465018136e-05,4.00543212890625e-05,3.4809112548828125e-05,1.120963661044829,0.6924512366010994,0.35611242669246423,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:49:44,21.478532552719116,48600,2262.724414748129,7769,361.70999955099205,1386360.8535665292,1177.4382589191373,1043.8703703703704,367.0,66,1.7246009255510077,0.830506706371198,1.1279544781996027,48.33141917892585,6.952080205156284,8.54246484791791,11.450209856033325,0.0,-1.2547661659421465,1.2287638513695591,0.8138260243295872,1.5618132850103854e-10,1.2497252838165615e-05,4.372331831190321e-05,4.0411949157714844e-05,2.765655517578125e-05,0.794903295244786,1.2856235961759008,0.2858258092173066,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:50:05,21.085427045822144,24300,1152.4547236910144,3879,183.96592070771376,1386638.2222222222,1177.5560378267448,1043.6666666666667,367.0,66,1.7239094656985456,0.8302506507214835,1.128287484343735,36.94266332841824,6.078047657629729,10.050190969749734,9.503207921981812,0.0,0.26997964407927844,1.6535228968028577,0.60476936964921,4.746299156168889e-10,2.178600274526947e-05,5.586942036946615e-05,5.125999450683594e-05,3.504753112792969e-05,0.6347322062507887,0.9557461956190034,0.389945028983619,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:50:26,24.1994411945343,29700,1227.301067047286,4765,196.90537321482552,1385643.8751147843,1177.1337541311032,1044.3939393939395,367.0,66,1.7263813997771782,0.8311663274970288,1.1270974578942812,33.15365340636161,5.757920927414826,9.91116825017062,6.889014482498169,0.0,1.5746067751381896,1.7213102394270818,0.5809527981038667,5.193233538336267e-11,7.206409326659337e-06,3.914399580522017e-05,3.743171691894531e-05,2.6226043701171875e-05,0.7128149992564816,1.7925643019276911,0.18409999230835558,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:50:50,22.121410608291626,35100,1586.6980917954525,5615,253.82648961343205,1386219.973701512,1177.3784326636496,1043.974358974359,372.0,66,1.7122133555328853,0.8306372291548031,1.127784818221352,29.493915462774858,5.430830089661695,10.394312559029995,9.85995864868164,0.0,0.2951780307207002,1.9139454535351688,0.5224809297218694,1.626212852741812e-10,1.2752305096498485e-05,4.733525789701022e-05,4.220008850097656e-05,3.4332275390625e-05,1.208056745155117,1.0196574194225925,0.26940394249555666,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:51:13,23.491655111312866,35100,1494.1475955475316,5623,239.36159344056324,1385939.8395792241,1177.2594614524123,1044.179487179487,367.0,66,1.7256505707179495,0.8308954136352273,1.127449328306954,42.56603170396833,6.524264840115577,9.914753907766098,12.170220375061035,0.0,-1.037112926544678,1.519673733476224,0.6580359836269063,1.1314800247300646e-10,1.0637104985521505e-05,4.3795658991887016e-05,3.981590270996094e-05,3.552436828613281e-05,1.1224171296634888,0.7775885183997445,0.2428803500249189,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:51:36,21.541411876678467,35100,1629.4196592564374,5663,262.8889894692081,1384547.1374095988,1176.667810985581,1045.2051282051282,372.0,66,1.7163853432208263,0.8321848520568798,1.1257769209439359,31.101066784663345,5.576833042566663,12.582610313708965,11.702132225036621,0.0,0.4736441356331779,2.2562286189435548,0.44321749649121767,3.127753624803465e-10,1.7685456241792194e-05,4.542790926419772e-05,4.220008850097656e-05,1.9073486328125e-05,0.5475381668006193,1.4901748971448665,0.3893081704231173,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:51:58,20.718079328536987,35100,1694.1724878740772,5636,272.03293850878345,1385485.7882971729,1177.0666031695798,1044.5128205128206,372.0,66,1.7140393382206895,0.8313147428343495,1.1269048881484096,31.892494890699627,5.647344056341851,8.356041211348314,6.362497568130493,0.0,1.0590165695566818,1.479640894548412,0.6758396606125171,8.60273009961741e-11,9.275090349758006e-06,4.119139451246995e-05,3.838539123535156e-05,3.2901763916015625e-05,0.9075932970911494,0.893752004978648,0.22517058379633492,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:52:18,20.138508558273315,27000,1340.7149750872609,4359,216.45098431131,1384416.4100000004,1176.6122598375389,1045.3,372.0,66,1.7167082725101794,0.832304773141848,1.1256216012987075,47.26561061351235,6.87499895370991,10.053255208333333,9.565773844718933,0.0,0.21271917285951444,1.462291889209432,0.6838579953696086,1.007202854452771e-10,1.0035949653384931e-05,4.4846534729003905e-05,4.1365623474121094e-05,3.266334533691406e-05,1.0405326974838203,1.213954813731124,0.22378428375859133,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:52:39,23.549700021743774,32400,1375.8137033628716,5204,220.9794602561847,1385425.0802469135,1177.0408150301812,1044.5555555555557,367.0,66,1.7269296363478663,0.8313692635462806,1.1268340958697618,33.639697577207656,5.799973929011031,11.37419862879647,12.989400625228882,0.0,-0.8354530638594561,1.9610775441426709,0.5099237421726597,8.612567449341035e-11,9.280391936411434e-06,4.549821217854818e-05,4.172325134277344e-05,4.076957702636719e-05,1.220302179576196,0.5095296819984817,0.20397267259628762,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:53:02,23.433971405029297,35100,1497.8255027001949,5637,240.5482153481766,1385447.4792899408,1177.0503299731668,1044.5384615384614,367.0,66,1.726872108061617,0.8313480202335691,1.126861645898164,34.2758871707178,5.85456122785626,8.288344053121714,8.503320455551147,0.0,-0.11015841874190331,1.4157071265538068,0.70636078694769,1.9310281184721e-10,1.3896143776141999e-05,4.59597660945012e-05,4.1961669921875e-05,3.314018249511719e-05,0.8631379115745301,0.9225281348480068,0.3023545365215552,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:53:25,20.458335638046265,27000,1319.7554521389432,4301,210.23215554257754,1387040.1655555558,1177.7266939131318,1043.3666666666666,367.0,66,1.722895482022304,0.8298756169135081,1.128775464598382,45.46513362654295,6.742783818760835,10.246283642450969,9.552810072898865,0.0,0.30854032467537196,1.5195924884825973,0.6580711655126428,1.2721557141048834e-11,3.566729193679951e-06,3.4809112548828125e-05,3.516674041748047e-05,2.7894973754882812e-05,-0.3008032142889127,1.9385096031952154,0.10246538715046982,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:53:46,21.609336137771606,40500,1874.1899215130832,6461,298.9911378492847,1386755.5328395062,1177.6058478283412,1043.5777777777778,367.0,66,1.7236101001675785,0.8301400503237638,1.1284313185893688,34.03801988517538,5.834211162203111,11.501151185565524,13.628698348999023,0.0,-1.0940024817151612,1.9713292621418361,0.5072719302677557,1.7768343241186808e-10,1.332979491259592e-05,4.7540664672851564e-05,4.2438507080078125e-05,4.2438507080078125e-05,1.1482901934114937,0.3827633978038313,0.28038722227222024,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:54:08,21.453916788101196,37800,1761.9160348829494,6085,283.63119238790335,1384984.3905895692,1176.8535977722843,1044.8809523809523,372.0,66,1.7152880026572812,0.8317780174474695,1.1263040015138646,52.85362785562078,7.270050058673653,10.612411237898327,10.693442463874817,0.0,-0.033437689695058406,1.4597439016581482,0.6850516716419112,7.226306627913167e-11,8.500768569907762e-06,4.2166028703962055e-05,4.279613494873047e-05,3.1948089599609375e-05,-0.22237033260696726,1.2020017978755007,0.20160230477453056,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:54:29,20.473897218704224,24300,1186.8771118866605,3897,190.33992201737925,1385727.3333333337,1177.1692033575011,1044.3333333333333,367.0,66,1.726174957860234,0.8310898132086265,1.1271968113860529,24.071172174654496,4.9062380878484175,8.84375347914519,6.875981330871582,0.0,1.2032266553557467,1.802552856342023,0.5547687528172301,2.287056360481433e-10,1.5123016764129546e-05,4.5988294813368055e-05,3.719329833984375e-05,6.318092346191406e-05,1.7446908796104603,-1.136851788019266,0.32884491206952793,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:54:50,23.450050115585327,35100,1496.7985069111603,5668,241.70524037528367,1384374.6324786325,1176.594506394889,1045.3333333333333,373.0,66,1.7142694352535532,0.8323456620021384,1.1255687242298047,33.60626653950415,5.797091213660877,9.607849604044205,7.452311038970947,0.0,1.1154931769886864,1.6573569829992072,0.6033703120436777,1.0889315484821819e-10,1.0435188299605244e-05,4.199834970327524e-05,4.0531158447265625e-05,3.0994415283203125e-05,0.42180108701971,1.054502717549274,0.24846662722062757,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:55:13,21.76666831970215,40500,1860.6430439949936,6515,299.3108501636391,1385126.8395061728,1176.9141173026062,1044.7777777777778,372.0,66,1.7149368026608376,0.8316475802168631,1.1264731527941567,34.526020103495185,5.875884623058488,10.370494725969102,11.51691484451294,0.0,-0.585317884244181,1.7649248396186346,0.5665963657784319,6.210231933639281e-11,7.880502479943319e-06,4.0642420450846355e-05,3.933906555175781e-05,3.647804260253906e-05,0.49616946472856766,0.5284406494263605,0.19389845369751377,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:55:35,20.823026180267334,40500,1944.9622571372115,6495,311.91431753348616,1385733.5555555557,1177.1718462295792,1044.3333333333333,372.0,66,1.7134286777757615,0.8310879473263691,1.1271993420647104,46.84280431103018,6.844180324263102,8.57006319363912,4.628929853439331,0.0,1.7275114711230766,1.252167942340391,0.7986149191225329,7.473520074401878e-11,8.644952327457843e-06,4.140535990397135e-05,3.910064697265625e-05,2.956390380859375e-05,0.7997891176316637,1.36975377617377,0.20878824257312328,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:55:56,20.20279622077942,37800,1871.0281283301329,6078,300.8494434918134,1385213.4897959186,1176.9509292217406,1044.7142857142858,372.0,66,1.7147213252784934,0.8315676222469709,1.12657685006867,21.927333796290725,4.682663109416556,6.853941417875744,4.93412446975708,0.0,1.229951997352549,1.4636845012601647,0.6832073436174573,5.3663667613920774e-11,7.32554896331468e-06,4.2983463832310266e-05,4.3511390686035156e-05,4.601478576660156e-05,-0.2161995734525865,-0.41380133413505676,0.17042714360791308,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:56:16,22.268529176712036,54000,2424.9468643161254,8655,388.665094641779,1385844.1875,1177.2188358584822,1044.25,369.5,66,1.719518867979906,0.8309839854767657,1.127334293376569,25.413383951512984,5.04116890725881,10.051792943477631,9.716583490371704,0.0,0.19948317102999072,1.9939409149739047,0.5015193742654542,1.594871434917877e-10,1.2628821936023475e-05,4.318952560424805e-05,4.279613494873047e-05,3.314018249511719e-05,0.09345067754786536,0.7957466785136388,0.29240473840215847,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:56:38,23.649276971817017,21600,913.3471617648543,3446,145.71269997415223,1386747.1597222222,1177.6022926787389,1043.5833333333333,367.0,66,1.7236294567522,0.8301472741782673,1.128421904667002,41.02879916242077,6.405372679432538,10.61486303806305,9.540460348129272,0.0,0.5032038307702152,1.6571811773180756,0.6034343218997728,6.079048375795537e-11,7.796825235822293e-06,4.2498111724853516e-05,4.0411949157714844e-05,3.361701965332031e-05,0.8026969326773634,1.1390651711326396,0.18346286268673428,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:57:02,22.42540979385376,21600,963.1931009760194,3465,154.5122266149031,1385672.734375,1177.1460123429888,1044.375,369.5,66,1.7199438122125486,0.8311415828973031,1.1271296347987925,48.14285059719339,6.938504925212159,9.608603984117508,8.694041132926941,0.0,0.39542935879487134,1.3848234003845872,0.7221137364679744,7.712852578833918e-11,8.782284770396549e-06,4.0024518966674805e-05,3.7789344787597656e-05,3.123283386230469e-05,0.7635282517636546,1.0010703745345693,0.21942261886292377,False
172.18.0.2,172.18.0.5,443,45220,2025-08-14 11:57:24,7.01607871055603,10874,1549.8685873691154,1481,211.08657144506714,1328915.9642857143,1152.7861745725936,882.5,220.5,66,1.7227826320317627,0.7082839975095339,1.306273285634667,9.174280043171986,3.0289074008909527,3.7333851201193675,3.0800453424453735,0.0,0.6471044088193131,1.2325847660516769,0.8113032284207822,1.4091574485064484e-09,3.753874596342356e-05,7.658004760742187e-05,7.891654968261719e-05,3.361701965332031e-05,-0.1867272346395312,1.1444982204776695,0.49018963994200276,False
